date,category,title,amount
2024-09-02,serviços,Dm*Helpmaxcom,19.95
2024-09-01,vestuário,Mercadolivre*3produto,163.25
2024-09-01,casa,Mercadolivre*3produto,93.30
2024-08-29,transporte,Uber *Uber *Trip,20.95
2024-08-28,tax_foreign,IOF de "Coursera.Org",12.27
2024-08-28,educação,Coursera.Org,280.12
2024-08-27,supermercado,Mosaico Restaurante,59.30
2024-08-25,supermercado,Chefmauro,137.39
2024-08-21,supermercado,Super Portugal,9.29
2024-08-21,transporte,Uber *Uber *Trip,16.95
2024-08-19,restaurante,Cafe Iguatemi,36.74
2024-08-19,supermercado,Johnny Joy Milkshake G,22.00
2024-08-17,saúde,Pag*Raiadrogasilsa,34.45
2024-08-17,serviços,Liberty Parc,277.77
2024-08-17,saúde,Pag*Raiadrogasilsa,59.23
2024-08-15,bnpl_transaction_upfront_national,iFood,53.90
2024-08-14,supermercado,Superm Sao Luiz,27.16
2024-08-14,saúde,Pag*Raiadrogasilsa,23.91
2024-08-14,saúde,Drogaria Rds*Drogaria,73.17
2024-08-13,outros,Wellhub Gympass Br Gym,269.90
2024-08-12,payment,Pagamento recebido,-3937.93
2024-08-12,serviços,Mp *Vidabr,78.46
2024-08-11,transporte,Posto Papagaio,276.89
2024-08-10,serviços,Liberty Parc,89.31
2024-08-09,transporte,Uber *Uber *Trip,26.97
2024-08-09,transporte,Uber *Uber *Trip,23.92
2024-08-08,transporte,Uber *Uber *Trip,15.93
2024-08-08,restaurante,Paygo*Pardal Meireles,54.45
2024-08-08,transporte,Uber *Uber *Trip,15.94
2024-08-05,restaurante,Floresta Bar,12.90
2024-08-05,serviços,Mp *Melimais,17.99
2024-08-05,restaurante,Floresta Bar,142.48
2024-08-04,transporte,Uber *Uber *Trip,12.24
2024-08-04,lazer,Cyssales,29.80
2024-08-03,serviços,Pag*Fortalservice 3/3,666.66
2024-08-03,serviços,Samsung *Samsung 9/12,438.94
2024-08-03,lazer,Kirus Brinquedos Intel 2/2,44.99
2024-08-03,transporte,Gnc - Av Rogaciano Lei 2/2,141.06
2024-08-03,eletrônicos,Amazon 2/2,176.67
2024-08-03,serviços,Dm *Rentcarshertz 6/10,280.91
2024-08-03,eletrônicos,Amazon 2/2,72.97
